Cycle,FECCandID,CID,FirstLastP,Party Original,DistIDRunFor,DistIDCurr,CurrCand,CycleCand,CRPICO,RecipCode,NoPacs,State,District,Party,contrib_date,contrib_count,contrib_amount
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-02-11,1,250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-02-18,2,1478.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-02-26,1,2700.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-03-02,26,40350.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-03-11,1,1000.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-03-14,6,9000.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-03-17,16,32300.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-03-18,2,5400.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-03-26,2,1000.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-03-30,2,3200.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-03-31,2,3200.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-05-05,1,1000.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-05-21,22,21550.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-06-09,2,1500.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-06-10,36,19250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-06-11,1,2700.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-06-16,12,3600.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-06-19,3,-4400.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-06-24,8,2400.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-06-29,1,250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-06-30,1,250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-07-20,2,1250.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-08-18,1,350.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-08-24,17,11300.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-09-04,8,6850.0
2016,H0AL02087,N00030768,MARTHA ROBY,R,AL02,AL02,Y,Y,I,RW, ,AL,2,R,2015-09-15,1,250.0
