Category,Score,Party,Breakdown
Low,1.758409838776581,Overall,Joy Score
High,1.847979216940648,Overall,Joy Score
Low,1.6627826548463915,Democrats,Joy Score
High,1.6174319877367351,Democrats,Joy Score
Low,1.8540370227067704,Republicans,Joy Score
High,2.078526446144561,Republicans,Joy Score
Low,1.8551258463232265,Overall,Sadness Score
High,1.252745036502849,Overall,Sadness Score
Low,1.728366660431458,Democrats,Sadness Score
High,1.251657242063492,Democrats,Sadness Score
Low,1.9818850322149952,Republicans,Sadness Score
High,1.253832830942206,Republicans,Sadness Score
Low,1.8534037238643133,Overall,Fear Score
High,1.9376581692682489,Overall,Fear Score
Low,1.703757575838009,Democrats,Fear Score
High,1.42873791836731,Democrats,Fear Score
Low,2.0030498718906173,Republicans,Fear Score
High,2.446578420169187,Republicans,Fear Score
Low,1.925933909534896,Overall,Anger Score
High,1.5215413533834588,Overall,Anger Score
Low,1.6853816962859272,Democrats,Anger Score
High,1.5495841269841268,Democrats,Anger Score
Low,2.1664861227838643,Republicans,Anger Score
High,1.5032525879917187,Republicans,Anger Score
Low,1.8406647783753118,Overall,Neutrality Score
High,1.8933098465641847,Overall,Neutrality Score
Low,1.5974222195855654,Democrats,Neutrality Score
High,1.7540108732368005,Democrats,Neutrality Score
Low,2.083907337165059,Republicans,Neutrality Score
High,2.032608819891569,Republicans,Neutrality Score
Low,1.8933331757545837,Overall,Disgust Score
High,1.8249316239316238,Overall,Disgust Score
Low,1.4771038765094822,Democrats,Disgust Score
High,1.9339583333333334,Democrats,Disgust Score
Low,2.3095624749996855,Republicans,Disgust Score
High,1.7764753086419751,Republicans,Disgust Score
Low,1.8814721642054717,Overall,Surprise Score
High,1.9225833333333335,Overall,Surprise Score
Low,1.7259424732405229,Democrats,Surprise Score
High,1.9761111111111112,Democrats,Surprise Score
Low,2.03700185517042,Republicans,Surprise Score
High,1.9047407407407408,Republicans,Surprise Score
