Category,Term Presence,Party,Breakdown
"Topic
used",1.8563055732314038,Overall,Government Overreach
"Not
used",1.877445847951753,Overall,Government Overreach
"Topic
used",1.7121397343552733,Democrats,Government Overreach
"Not
used",1.6617714128163972,Democrats,Government Overreach
"Topic
used",2.0004714121075344,Republicans,Government Overreach
"Not
used",2.093120283087108,Republicans,Government Overreach
"Topic
used",1.8229104608331863,Overall,National Security And Defense
"Not
used",1.8705948507056356,Overall,National Security And Defense
"Topic
used",1.5768514263204694,Democrats,National Security And Defense
"Not
used",1.7574927401726148,Democrats,National Security And Defense
"Topic
used",2.0689694953459035,Republicans,National Security And Defense
"Not
used",1.9836969612386568,Republicans,National Security And Defense
"Topic
used",1.835967931938721,Overall,Education
"Not
used",1.886258488493026,Overall,Education
"Topic
used",1.6064210505835739,Democrats,Education
"Not
used",1.7333753602471533,Democrats,Education
"Topic
used",2.065514813293868,Republicans,Education
"Not
used",2.039141616738899,Republicans,Education
"Topic
used",1.8422902884281165,Overall,Climate And Environmental Policy
"Not
used",1.8789317188108459,Overall,Climate And Environmental Policy
"Topic
used",1.6979998330969428,Democrats,Climate And Environmental Policy
"Not
used",1.6660207248515329,Democrats,Climate And Environmental Policy
"Topic
used",1.9865807437592906,Republicans,Climate And Environmental Policy
"Not
used",2.0918427127701587,Republicans,Climate And Environmental Policy
"Topic
used",1.8893881598735327,Overall,Housing And Community
"Not
used",1.872348847869416,Overall,Housing And Community
"Topic
used",1.6746869961857758,Democrats,Housing And Community
"Not
used",1.704532718052761,Democrats,Housing And Community
"Topic
used",2.10408932356129,Republicans,Housing And Community
"Not
used",2.040164977686071,Republicans,Housing And Community
"Topic
used",1.8103535021318304,Overall,Economy And Taxes
"Not
used",2.058527281221485,Overall,Economy And Taxes
"Topic
used",1.69137970656122,Democrats,Economy And Taxes
"Not
used",1.671453819395637,Democrats,Economy And Taxes
"Topic
used",1.9293272977024412,Republicans,Economy And Taxes
"Not
used",2.445600743047333,Republicans,Economy And Taxes
"Topic
used",1.850642522286246,Overall,Healthcare
"Not
used",1.8538122771246792,Overall,Healthcare
"Topic
used",1.7085745884912213,Democrats,Healthcare
"Not
used",1.6727305848917027,Democrats,Healthcare
"Topic
used",1.9927104560812703,Republicans,Healthcare
"Not
used",2.0348939693576558,Republicans,Healthcare
"Topic
used",1.8277185059319805,Overall,Congress And Legislation
"Not
used",4.078286324786325,Overall,Congress And Legislation
"Topic
used",1.6362011811891033,Democrats,Congress And Legislation
"Not
used",4.597716666666666,Democrats,Congress And Legislation
"Topic
used",2.0192358306748575,Republicans,Congress And Legislation
"Not
used",3.5315175438596484,Republicans,Congress And Legislation
"Topic
used",1.7924758784169335,Overall,Energy Policy
"Not
used",1.9341126279515624,Overall,Energy Policy
"Topic
used",1.6742571828012014,Democrats,Energy Policy
"Not
used",1.7032708255577387,Democrats,Energy Policy
"Topic
used",1.910694574032665,Republicans,Energy Policy
"Not
used",2.1649544303453854,Republicans,Energy Policy
"Topic
used",1.748772528288845,Overall,Social Issues And Values
"Not
used",1.8551589339407581,Overall,Social Issues And Values
"Topic
used",1.4223232323232324,Democrats,Social Issues And Values
"Not
used",1.7050145006653736,Democrats,Social Issues And Values
"Topic
used",2.061619770255892,Republicans,Social Issues And Values
"Not
used",2.005303367216143,Republicans,Social Issues And Values
"Topic
used",1.9279360216440848,Overall,Social Security And Medicare
"Not
used",1.8257770705338991,Overall,Social Security And Medicare
"Topic
used",1.6455298598239132,Democrats,Social Security And Medicare
"Not
used",1.7208343880232972,Democrats,Social Security And Medicare
"Topic
used",2.2103421834642565,Republicans,Social Security And Medicare
"Not
used",1.9307197530445013,Republicans,Social Security And Medicare
"Topic
used",1.7963261723345034,Overall,Patriotic Rhetoric
"Not
used",1.9322703578577982,Overall,Patriotic Rhetoric
"Topic
used",1.6731030545180776,Democrats,Patriotic Rhetoric
"Not
used",1.6906860336512672,Democrats,Patriotic Rhetoric
"Topic
used",1.9195492901509297,Republicans,Patriotic Rhetoric
"Not
used",2.173854682064329,Republicans,Patriotic Rhetoric
"Topic
used",1.922299378997496,Overall,Immigration
"Not
used",1.8719517351904027,Overall,Immigration
"Topic
used",2.018936289983165,Democrats,Immigration
"Not
used",1.6661910431088742,Democrats,Immigration
"Topic
used",1.8256624680118267,Republicans,Immigration
"Not
used",2.077712427271931,Republicans,Immigration
"Topic
used",1.9430057488886454,Overall,Executive Power
"Not
used",1.7999641910422604,Overall,Executive Power
"Topic
used",1.711752402669936,Democrats,Executive Power
"Not
used",1.688305219224876,Democrats,Executive Power
"Topic
used",2.1742590951073555,Republicans,Executive Power
"Not
used",1.9116231628596447,Republicans,Executive Power
"Topic
used",1.9790012681514206,Overall,Law Enforcement And Crime
"Not
used",1.8171611560960876,Overall,Law Enforcement And Crime
"Topic
used",1.8213784636374202,Democrats,Law Enforcement And Crime
"Not
used",1.6562770955072088,Democrats,Law Enforcement And Crime
"Topic
used",2.1366240726654206,Republicans,Law Enforcement And Crime
"Not
used",1.978045216684966,Republicans,Law Enforcement And Crime
"Topic
used",1.936010701116011,Overall,Voting Rights
"Not
used",1.8393980550046216,Overall,Voting Rights
"Topic
used",1.867123498742221,Democrats,Voting Rights
"Not
used",1.6008189929904217,Democrats,Voting Rights
"Topic
used",2.0048979034898013,Republicans,Voting Rights
"Not
used",2.0779771170188215,Republicans,Voting Rights
"Topic
used",1.711595372791811,Overall,Terrorism And Foreign Threats
"Not
used",1.92335128902135,Overall,Terrorism And Foreign Threats
"Topic
used",1.680322976571711,Democrats,Terrorism And Foreign Threats
"Not
used",1.6851740790541685,Democrats,Terrorism And Foreign Threats
"Topic
used",1.7428677690119108,Republicans,Terrorism And Foreign Threats
"Not
used",2.161528498988532,Republicans,Terrorism And Foreign Threats
"Topic
used",1.9776620426978504,Overall,Supreme Court And Judiciary
"Not
used",1.849345471627099,Overall,Supreme Court And Judiciary
"Topic
used",1.8625139807478674,Democrats,Supreme Court And Judiciary
"Not
used",1.6674532674766056,Democrats,Supreme Court And Judiciary
"Topic
used",2.088012268733251,Republicans,Supreme Court And Judiciary
"Not
used",2.0312376757775925,Republicans,Supreme Court And Judiciary
