dc_gender,dc_state,dc_district,newsletter_id,dc_date,dc_name,dc_party,newsletter_count,total_newsletters,body_word_count,fundraising_terms,fundraising_ratio,neutral_score,anger_score,joy_score,disgust_score,sadness_score,surprise_score,fear_score,matched_phrases,themes_list,theme_national_security_and_defense,theme_political_figures_-_obama,theme_social_issues_and_values,theme_healthcare,theme_social_safety_net_and_entitlements,theme_education,theme_government_overreach,theme_economy_and_taxes,theme_congress_and_legislation,theme_housing_and_community,theme_media_and_press,theme_energy_independence,theme_patriotic_rhetoric,theme_law_enforcement_and_crime,theme_immigration,theme_political_figures_-_trump,theme_executive_power,theme_voting_rights,theme_terrorism_and_foreign_threats,theme_supreme_court_and_judiciary,theme_iran_and_nuclear_policy,theme_gun_policy,theme_reproductive_rights,theme_climate_and_energy_policy,theme_civil_rights,theme_political_figures_-_hillary_clinton,theme_criminal_justice_reform,theme_election_integrity,theme_trump_name_calling,fec_cid,fec_name,contrib_date,contrib_count,contrib_amount,month_start,avg_daily_contrib_count_per_month,avg_daily_contrib_amount_per_month,window_days,window_contrib_count,window_contrib_amount,window_fundraising_count_score,window_fundraising_amount_score
M,FL,10,136125,2017-01-02,DANIEL WEBSTER,R,1,96.0,690,1,0.0014492753623188406,0.1910905390977859,0.0071258260868489,0.7173996567726135,,0.0434895642101764,0.0362000428140163,,"['obamacare', 'health', 'student', 'assistance', 'obama', 'congress', 'community', 'military', 'business', 'epa', 'bless', 'christmas', 'bureaucracy', 'federal government', 'government', 'press']","['National Security & Defense', 'Political Figures - Obama', 'Social Issues & Values', 'Healthcare', 'Social Safety Net & Entitlements', 'Education', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Housing & Community', 'Media & Press', 'Energy Independence']",True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00026335,DANIEL WEBSTER,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,CA,49,136126,2017-01-02,DARRELL ISSA,R,1,9.0,435,0,0.0,0.6696445345878601,0.0048333895392715,0.2771382927894592,,0.0123833566904068,0.0317039899528026,,"['obama', 'president obama', 'bills', 'congress', 'law', 'national defense', 'defense', 'veterans', 'economy', 'epa', 'bless']","['National Security & Defense', 'Political Figures - Obama', 'Social Issues & Values', 'Economy & Taxes', 'Congress & Legislation', 'Energy Independence']",True,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00007017,DARRELL ISSA,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,OH,12,136127,2017-01-02,PATRICK TIBERI,R,1,29.0,620,0,0.0,0.1234925761818885,0.0036151686217635,0.794268786907196,,0.0117131685838103,0.0630496889352798,,"['healthcare', 'obamacare', 'health', 'repeal', 'repeal and replace', 'border', 'trump', 'donald trump', 'obama', 'obama administration', 'legislation', 'house', 'congress', 'law', 'community', 'order', 'tax', 'tax relief', 'tax code', 'jobs', 'small business', 'business', 'epa', 'power', 'oversight', 'american', 'press']","['Political Figures - Obama', 'Healthcare', 'Patriotic Rhetoric', 'Law Enforcement & Crime', 'Economy & Taxes', 'Immigration', 'Congress & Legislation', 'Political Figures - Trump', 'Housing & Community', 'Media & Press', 'Executive Power', 'Energy Independence']",False,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,N00009699,PAT TIBERI,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,CA,23,136128,2017-01-02,KEVIN MCCARTHY,R,1,304.0,179,0,0.0,0.9257631301879884,,0.0111039131879806,,0.0121804373338818,0.032708041369915,0.0098206494003534,"['legislation', 'house', 'congress', 'committee', 'vote', 'votes', 'majority', 'majority leader', 'sponsored', 'election', 'veterans', 'business', 'accountability']","['National Security & Defense', 'Voting Rights', 'Economy & Taxes', 'Congress & Legislation', 'Executive Power']",True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,N00028152,KEVIN MCCARTHY,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,RI,1,136129,2017-01-02,DAVID CICILLINE,D,1,103.0,192,0,0.0,0.4081687331199646,0.00626977160573,0.5596339106559753,,0.0043754973448812,0.0154035426676273,,"['congress', 'states', 'media', 'news']","['Media & Press', 'Congress & Legislation', 'Government Overreach']",False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00032019,DAVID CICILLINE,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,PA,6,136130,2017-01-02,RYAN COSTELLO,R,1,123.0,1440,3,0.0020833333333333333,0.5678431391716003,0.0150125520303845,0.0393829867243766,,,0.2545530498027801,0.1035698056221008,"['healthcare', 'health', 'repeal', 'education', 'legislation', 'this bill', 'the bill', 'house', 'congress', 'committee', 'vote', 'votes', 'law', 'amendment', 'housing', 'affordable', 'community', 'crime', 'order', 'veterans', 'armed forces', 'tax', 'jobs', 'regulatory', 'energy', 'life', 'states', 'freedom', 'power', 'american', 'press', 'news']","['National Security & Defense', 'Social Issues & Values', 'Healthcare', 'Patriotic Rhetoric', 'Education', 'Government Overreach', 'Law Enforcement & Crime', 'Economy & Taxes', 'Congress & Legislation', 'Housing & Community', 'Media & Press', 'Executive Power', 'Energy Independence']",True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,N00031064,RYAN COSTELLO,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,WI,7,136131,2017-01-02,SEAN DUFFY,R,1,94.0,259,0,0.0,0.8808570504188538,0.0130596421658992,0.0835593566298484,,0.0055964705534279,0.0111260535195469,,['economy'],['Economy & Taxes'],False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,N00030967,SEAN P DUFFY,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
F,MO,2,136132,2017-01-02,ANN WAGNER,R,1,82.0,535,3,0.005607476635514018,0.0310736261308193,,0.9420157670974731,,0.007890542037785,0.0145865036174654,0.0019590312149375,"['health care', 'obamacare', 'health', 'repeal', 'repeal and replace', 'trump', 'obama', 'house', 'congress', 'law', 'affordable', 'community', 'order', 'isis', 'tax', 'tax code', 'economy', 'jobs', 'regulations', 'regulation', 'epa', 'bless', 'overreach', 'states', 'constitution', 'executive', 'executive order', 'power', 'american', 'media']","['Political Figures - Obama', 'Social Issues & Values', 'Healthcare', 'Terrorism & Foreign Threats', 'Patriotic Rhetoric', 'Government Overreach', 'Law Enforcement & Crime', 'Economy & Taxes', 'Congress & Legislation', 'Political Figures - Trump', 'Housing & Community', 'Media & Press', 'Executive Power', 'Energy Independence']",False,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,N00033106,ANN L WAGNER,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
F,AZ,1,136133,2017-01-02,ANN KIRKPATRICK,D,1,30.0,1032,3,0.0029069767441860465,0.6451278924942017,0.0198055133223533,0.248133584856987,0.02306997962296,0.0451936423778533,,,"['health care', 'affordable care act', 'medicaid', 'health', 'immigration reform', 'medicaid', 'legislation', 'congress', 'committee', 'vote', 'election', 'affordable', 'veterans', 'jobs', 'business', 'epa', 'life', 'accountability', 'american']","['National Security & Defense', 'Social Issues & Values', 'Healthcare', 'Voting Rights', 'Social Safety Net & Entitlements', 'Patriotic Rhetoric', 'Economy & Taxes', 'Immigration', 'Congress & Legislation', 'Housing & Community', 'Executive Power', 'Energy Independence']",True,False,True,True,True,False,False,True,True,True,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,N00029260,ANN KIRKPATRICK,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
M,VA,9,136134,2017-01-02,H. GRIFFITH,R,1,115.0,915,3,0.003278688524590164,0.4817847013473511,0.3276583552360534,,0.1144188195466995,0.020572492852807,,0.0441050380468368,"['health', 'trump', 'donald trump', 'obama', 'president obama', 'obama administration', 'bills', 'house', 'senate', 'congress', 'committee', 'vote', 'votes', 'law', 'amendment', 'veto', 'defense', 'jobs', 'spending', 'dollars', 'government', 'states', 'constitution', 'constitutional', 'judicial', 'executive', 'power', 'american', 'american people', 'news']","['National Security & Defense', 'Political Figures - Obama', 'Healthcare', 'Patriotic Rhetoric', 'Government Overreach', 'Economy & Taxes', 'Congress & Legislation', 'Political Figures - Trump', 'Supreme Court & Judiciary', 'Media & Press', 'Executive Power']",True,True,False,True,False,False,True,True,True,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,N00032029,MORGAN GRIFFITH,,0,0.00,,0,0.00,0,0,0.00,0.00,0.00
