target_id,target_name,matched_candidate_id,matched_candidate_name,matched_attribute1,matched_attribute2,matched_attribute3,append_attribute1,append_attribute2,append_attribute3,similarity_score,matched_scorer
,DANIEL WEBSTER,N00026335,DANIEL WEBSTER,R,FL,10,2016,,,100.0,WRatio
,DARRELL ISSA,N00007017,DARRELL ISSA,R,CA,49,2016,,,100.0,WRatio
,PATRICK TIBERI,N00009699,PAT TIBERI,R,OH,12,2016,,,83.33333333333334,WRatio
,KEVIN MCCARTHY,N00028152,KEVIN MCCARTHY,R,CA,23,2016,,,100.0,WRatio
,DAVID CICILLINE,N00032019,DAVID CICILLINE,D,RI,1,2016,,,100.0,WRatio
,RYAN COSTELLO,N00031064,RYAN COSTELLO,R,PA,6,2016,,,100.0,WRatio
,SEAN DUFFY,N00030967,SEAN P DUFFY,R,WI,7,2016,,,100.0,token_set_ratio
,ANN WAGNER,N00033106,ANN L WAGNER,R,MO,2,2016,,,100.0,token_set_ratio
,ANN KIRKPATRICK,N00029260,ANN KIRKPATRICK,D,AZ,1,2016,,,100.0,WRatio
,H. GRIFFITH,N00032029,MORGAN GRIFFITH,R,VA,9,2016,,,90.0,partial_ratio
,TOM PRICE,N00026160,TOM PRICE,R,GA,6,2016,,,100.0,WRatio
,LYNN JENKINS,N00029077,LYNN JENKINS,R,KS,2,2016,,,100.0,WRatio
,VERN BUCHANAN,N00027626,VERNON BUCHANAN,R,FL,16,2016,,,92.85714285714286,WRatio
,TOM RICE,N00033832,TOM RICE,R,SC,7,2016,,,100.0,WRatio
,RICHARD HUDSON,N00033630,RICHARD HUDSON,R,NC,8,2016,,,100.0,WRatio
,BRIAN BABIN,N00005736,BRIAN BABIN,R,TX,36,2016,,,100.0,WRatio
,JANICE SCHAKOWSKY,N00004724,JAN SCHAKOWSKY,D,IL,9,2016,,,90.3225806451613,token_set_ratio
,DAVID JOYCE,N00035007,DAVID P JOYCE,R,OH,14,2016,,,100.0,token_set_ratio
,MICHAEL MCCAUL,N00026460,MICHAEL MCCAUL,R,TX,10,2016,,,100.0,WRatio
,GUS BILIRAKIS,N00027462,GUS BILIRAKIS,R,FL,12,2016,,,100.0,WRatio
,AUSTIN SCOTT,N00032457,AUSTIN SCOTT,R,GA,8,2016,,,100.0,WRatio
,SCOTT PERRY,N00034120,SCOTT PERRY,R,PA,4,2016,,,100.0,WRatio
,TOM MARINO,N00031777,TOM MARINO,R,PA,10,2016,,,100.0,WRatio
,REID RIBBLE,N00030968,REID RIBBLE,R,WI,8,2016,,,100.0,WRatio
,ADAM SCHIFF,N00009585,ADAM SCHIFF,D,CA,28,2016,,,100.0,WRatio
,MIKE POMPEO,N00030744,MIKE POMPEO,R,KS,4,2016,,,100.0,WRatio
,JACKIE WALORSKI,N00031226,JACKIE WALORSKI,R,IN,2,2016,,,100.0,WRatio
,JEFF DENHAM,N00031593,JEFF DENHAM,R,CA,10,2016,,,100.0,WRatio
,JASON SMITH,N00035282,JASON SMITH,R,MO,8,2016,,,100.0,WRatio
,KEVIN YODER,N00031502,KEVIN YODER,R,KS,3,2016,,,100.0,WRatio
,MARSHALL SANFORD,N00002424,MARK SANFORD,R,SC,1,2016,,,80.0,partial_ratio
,LOU BARLETTA,N00025495,LOU BARLETTA,R,PA,11,2016,,,100.0,WRatio
,HENRY CUELLAR,N00024978,HENRY CUELLAR,D,TX,28,2016,,,100.0,WRatio
,LEE ZELDIN,N00029404,LEE ZELDIN,R,NY,1,2016,,,100.0,WRatio
,DAVID REICHERT,N00026885,DAVE REICHERT,R,WA,8,2016,,,88.88888888888889,WRatio
,ILEANA ROS-LEHTINEN,N00002858,ILEANA ROS-LEHTINEN,R,FL,27,2016,,,100.0,WRatio
,MICHAEL FITZPATRICK,N00027229,MICHAEL G FITZPATRICK,R,PA,8,2016,,,100.0,token_set_ratio
,NANCY PELOSI,N00007360,NANCY PELOSI,D,CA,12,2016,,,100.0,WRatio
,BOB GOODLATTE,N00009154,BOB GOODLATTE,R,VA,6,2016,,,100.0,WRatio
,BRENDAN BOYLE,N00035307,BRENDAN BOYLE,D,PA,13,2016,,,100.0,WRatio
,BILLY LONG,N00030676,BILLY LONG,R,MO,7,2016,,,100.0,WRatio
,FRANK PALLONE,N00000781,FRANK PALLONE JR,D,NJ,6,2016,,,100.0,partial_ratio
,TIM MURPHY,N00024992,TIM MURPHY,R,PA,18,2016,,,100.0,WRatio
,BLAINE LUETKEMEYER,N00030026,BLAINE LUETKEMEYER,R,MO,3,2016,,,100.0,WRatio
,FRED UPTON,N00004133,FRED UPTON,R,MI,6,2016,,,100.0,WRatio
,RODNEY DAVIS,N00034784,RODNEY DAVIS,R,IL,13,2016,,,100.0,WRatio
,MARC VEASEY,N00033839,MARC VEASEY,D,TX,33,2016,,,100.0,WRatio
,GRACE MENG,N00034547,GRACE MENG,D,NY,6,2016,,,100.0,WRatio
,DARIN LAHOOD,N00037031,DARIN LAHOOD,R,IL,18,2016,,,100.0,WRatio
,STEVEN PALAZZO,N00031958,STEVEN PALAZZO,R,MS,4,2016,,,100.0,WRatio
,GLENN GROTHMAN,N00036409,GLENN S GROTHMAN,R,WI,6,2016,,,100.0,token_set_ratio
,MICHAEL BURGESS,N00025219,MICHAEL BURGESS,R,TX,26,2016,,,100.0,WRatio
,JOYCE BEATTY,N00033904,JOYCE BEATTY,D,OH,3,2016,,,100.0,WRatio
,ELIJAH CUMMINGS,N00001971,ELIJAH E CUMMINGS,D,MD,7,2016,,,100.0,token_set_ratio
,LOUIE GOHMERT,N00026148,LOUIS B GOHMERT JR,R,TX,1,2016,,,77.41935483870968,WRatio
,DUNCAN HUNTER,N00029258,DUNCAN D HUNTER,R,CA,50,2016,,,100.0,token_set_ratio
,J. HILL,N00035792,FRENCH HILL,R,AR,2,2016,,,85.5,WRatio
