,Subject,Body,Unix Timestamp,BioGuide ID,Congress,First Name,Last Name,Date of Birth,Gender,State,District,Party,Chamber,Nickname,ID,datetime,election integrity_score,voter fraud_score,voter id_score,election reform_score,voter verification_score,ballot security_score,election security_score,mail-in voting concerns_score,voter suppression_score,election audits_score,American elections_score,proof of citizenship_score,election interference_score,foreign interference_score,paper ballots_score,voting machines_score,cybersecurity_score
0,Taking Border Security Seriously," Ensuring American Voters in American Elections Last month, a new report from the Texas Secretary of State showed 95,000 non-citizens were registered, with 58,000 having casts ballots since 1996. While last year, the California DMV acknowledged 1,500 people were ""registered to vote in error."" In Ohio alone, a 2017 report details 821 non-citizens having registered, with 126 casting ballots. In 2018, the Franklin County Prosecutor indicted seven for illegal voting. That's why I introduced legislation to prevent foreign nationals from illegally registering to vote. The Ensuring American Voters Act will require proof of citizenship at the beginning of the voter registration process. Voting is a fundamental responsibility for American citizens, who are the only people that should determine our nation's elections. Our election systems require security from start to finish, from voter registration to results tabulation. Unfortunately, there are gaps, resulting in thousands of non-citizens registering and illegally voting in American elections. We can help close one of these gaps by requiring proof of citizenship at the time someone registers to vote. That is what the Ensuring American Voters Act does. In Ohio alone, nearly 200 recent races were tied or decided by just one vote. Whether it is one vote or thousands, illegal voting dilutes the power of American citizens and can affect the outcome of elections. Taking Border Security Seriously Last week Congress passed a funding bill that provides the resources necessary to jumpstart the process of making our southern border secure. With funding for new barriers, enhanced detection technologies, and more immigration court judges, we are taking the next steps to get the illegal immigration crisis under control. Sadly, it is still not enough. It is clear Congressional Democrats will do everything in their power to obstruct the President's efforts to stop illegal immigration and the humanitarian catastrophes it invites. An unsecured border is a national emergency and should be treated as such. I will continue working with President Trump to strengthen American border security. Recognizing Tuscarawas County Sheriff's Achievements Tuscarawas County Sheriff Orvis Campbell was recognized by the Ohio Prosecuting Attorneys Association as the 2018 Outstanding Peace Officer. Sheriff Campbell's efforts in a 2016 abduction and attempted murder case inspired County Prosecutor Ryan Styer to nominate him. I am proud to honor his achievement and his commitment to keeping the people of Tuscarawas County safe! Washington, DC 2446 Rayburn HOB Washington, DC 20515 Phone: (202) 225-6265 Ashland District Office 110 Cottage Street Ashland, OH 44805 Phone: (419) 207-0650 Canton District Office 110 Central Plaza South Canton, OH 44702 Phone: (330) 737-1631   | Privacy Policy News from Representative Bob Gibbs Click here to open this e-mail in its own browser window Click here to open a plain text version of this email Click here to forward this email ",1550420000000.0,G000563,116,Bob,Gibbs,6/14/54,M,OH,7.0,Republican,House,,159017,2019-02-17 16:13:20,,,,,0.56886196,,,,,,,,,,,,
1,"Congressman Hank Johnson's E-Newsletter for March 8, 2019"," This week, I supported H.R. 1, The For the People Act, a historic reform package that restores the promise of our nation's democracy, ends the culture of corruption in Washington, and reduces the role of money in politics to return the power back to the American people. This groundbreaking bill was introduced at the start of the Democratic-controlled 116th Congress by Rep. John Sarbanes (D-MD) and has 236 Democratic cosponsors, including me. For years, Americans' access to the ballot box has been under attack. Since 2010, 25 states - including Georgia - have enacted significant restrictions on voting, including 14 with restrictive voter ID laws, 12 with new restrictions on registration and seven shortening or eliminating early voting. Millions of voters have been removed from voter rolls across the country - at higher rates in the states that were formerly subject to the Voting Rights Act's preclearance provisions - and polling stations have been closed at an accelerated rate. For more, click HERE . FY2020 APPROPRIATIONS : For all county and city governments, non-profits, schools and universities and other organizations who wish to make an appropriation request for fiscal year 2020, I now have a streamlined process to apply online. For more information, contact my Legislative Director Jacqui Kappler at @ or to fill out our online request form, click HERE . RESTORING ACCOUNTABILITY : On Feb. 28, I was joined by U.S. Sen. Richard Blumenthal (D-CT) to introduce the FAIR Act: The Forced Arbitration Injustice Repeal Act, which would increase Americans' rights to seek justice and accountability through the court system. The bill would eliminate forced arbitration clauses in employment, consumer, and civil rights cases, and would allow consumers and workers to agree to arbitration after a dispute occurs. Americans are unknowingly ceding their rights when they enter contracts to buy a home or a cell phone, place a loved one in a nursing home, or start a new job. We must fight to defend our rights and re-empower consumers. For more, click HERE . APP CHALLENGE : On March 1, I celebrated the winners of my fourth-annual Congressional App Challenge at Rockdale Magnet School of Science and Technology (RMSST) in Conyers. Every student put their all into it but this year RMSST serves as the number one school with the top app developers in the Fourth Congressional District. Technology, innovation and data are the foundation of the economic future of this country. For more, click HERE . KIDS & DENTAL HEALTH : I was honored to serve as keynote speaker for the 14th Annual Dental Quiz Bowl Competition, where I joined health officials, teachers and parents from across DeKalb County to recognize talented elementary school students. Hosted at the DeKalb County Board of Health's Winn Way office, the competition was a day full of celebrating the importance of oral health. For more, click HERE . IMMIGRANTS & REFUGEES : Immigrants, refugees, Dreamers and TPS (Temporary Protected Status) holders are our friends, neighbors, colleagues and family. Nearly one in 10 Georgians was born in a country other than the U.S., and immigrants make our state stronger. We know that immigrants are already powering major sectors of our state's economy, driving innovation, creating American jobs, and boosting economic growth. That's why I was proud to host Dreamers and TPS recipients to my D.C. office this week and hold groups like the Center for Immigration Studies accountable for its ties to white supremacy. For more, click HERE . TELEPHONE TOWN HALL : I will be holding a telephone town hall on Wednesday, March 20 from 6:30-7:30 PM. The event will be live via your phone or you can stream in online at . We will have more information and links to sign up soon. I look forward to hearing from you. U.S. CENSUS: BE COUNTED : The 2020 Census is fast approaching. Correspondence from the United States Census will be in your mailbox beginning next week. It is important that we all participate. Our founders thought it was so important they mandated it as part of the U.S. Constitution. The Census is about representation. For more, click HERE . AARP TAX HELP : As you know, it is tax season. The AARP Georgia wants to remind you about the AARP Foundation's Tax-Aide, a volunteer-led program that assists taxpayers with tax preparation and e-filing. AARP Foundation's Tax-Aide programs are available free to taxpayers with low- and moderate-income with special attention to those 50 and older. For more, click HERE . FOR YOUR/MORE INFORMATION: Housing Help | Jobs Center | Healthcare | Small Businesses | Seniors | Students | Veterans | Help with a Federal Agency | Opioid Resource Guide As always, I appreciate your time and feedback. Please remember you can reach me on Facebook, Twitter and Instagram as well as e-mails, phone calls and letters. Thank you for allowing me the opportunity to represent you in Congress. Washington, DC Office Decatur Office 2240 Rayburn HOB Washington, DC 20515 Phone: (202) 225-1605 | Fax: (202) 226-0691 5240 Snapfinger Park Drive Suite 140 Decatur, GA 30035 Phone: (770) 987-2291 | Fax: (770) 987-8721 Subscribe |   | Privacy Policy | Contact Us | ",1552060000000.0,J000288,116,Henry,Johnson,10/2/54,M,GA,4.0,Democrat,House,Hank,158505,2019-03-08 15:46:40,,,,,,,,,0.5676992,,,,,,,,
2,Federalizing Elections," Federalizing Elections News from Representative Crawford Federalizing Elections One of the most sacred rituals of being an American is the freedom we enjoy in the voting booth. Our voice and our vote are inherently protected through the design of the Founding Fathers' electoral system, and we are secured through the authority of states and counties in federal elections. Yet, many of my colleagues are voting to take this authority into their own hands through the sweeping regulations in H.R. 1. While there are certainly aspects of our voting system that could be improved, the answer is not to take the control away from the people. Instead we should be empowering the people to make improvements for themselves. The state of Arkansas provides ample opportunity for voters to get to the polls for local, state, and federal elections through practices like early voting and absentee voting. We want to ensure that all registered voters have a chance to cast their ballot. By creating unnecessary mandates about who can vote, where they can vote, and when they can vote, the federal government is taking away a founding pillar of our democracy. While the authors of H.R. 1 would like to paint the bill as one that protects the people, it only creates a significantly more vulnerable electoral process by taking it out of the hands of the people. It reshapes the identity of Election Day into a one size fits all mold. It claims to create greater barriers against election fraud but does not name or prosecute this fraud in any way. The federal government plays a vital but limited role in ensuring a secure and free election system in America. It is our job as lawmakers to work with local governments and private citizens to that end, instead of perpetrating a massive takeover of democracy. FAQ (What folks have been calling/texting my office about this week) Q: Why did you vote against the House resolution condemning hate? A: If Democrat Leaders wanted to specifically address anti-Semitism and a member of their conference who has repeatedly made anti-Semitic comments, this resolution failed in nearly every way hurried bill, that went through multiple iterations, simply did more to diminish that member's hateful, ongoing rhetoric and further insult those who her comments have targeted. You can text me legislative concerns or questions at 870-292-6747 The Daily Caller 'A SPINELESS, WATERED DOWN SHAME': REPUBLICANS BLAST 'SHAM' ANTI-HATE RESOLUTION A resolution condemning hatred in all forms passed the House Thursday, but 23 Republicans voted against it, calling it ""watered down"" and ""a sham."" H.R. 183 was originally intended as a reprimand for a series of anti-Semitic comments from freshman Democratic Minnesota Rep. Ilhan Omar, but it never named her specifically and was broadened before the final vote to include hatred against a number of other groups. Northwest Arkansas Democrat-Gazette House vote condemns anti-Semitism Republicans generally joined in the favorable vote, though nearly two-dozen opposed the measure. Rep. Rick Crawford was the only House member from Arkansas to vote against the resolution. He believed the resolution should have named Omar and condemned her remarks, said his spokesman, Sara Robertson. A resolution condemning white supremacy, which Crawford supported earlier this year, had singled out Rep. Steve King, R-Iowa, after King made an inflammatory statement, she noted. KAIT 8 - Brookland Elementary School student's wish came true TB&P - Downtown Jonesboro Association accepting grant requests THV11 - Stuttgart duck call shop reopens after fire 3 years ago KAIT 8 - Students step into the field of robotics H.R. 1381 - Burn Pit Registry Enhancement Act - Yea OFFICE LOCATIONS WASHINGTON, DC 2422 Rayburn HOB Washington, DC 20515 Phone: (202) 225-4076 CABOT, AR 112 S. 1st Cabot, AR 72023 Phone: (501) 843-3043 Fax: (501) 843-4955 DUMAS, AR 101 E. Waterman St. Dumas, AR 71639 Phone: (501) 843-3043 JONESBORO, AR 2400 Highland Dr Suite 300 Jonesboro, AR 72401 Phone: (870) 203-0540 Fax: (870) 203-0542 MOUNTAIN HOME, AR 1001 Highway 62 E Suite 9 Mountain Home, AR 72653 Phone: (870) 424-2075 Fax: (870) 424-3149 In order to improve constituent services provided through all my district offices, it is recommended you first call the appropriate district office to make an appointment.   | Privacy Policy Burn Pit Registry Enhancement Act Burn Pit Registry Enhancement Act Click Here to view this email in your browser Click Here to be removed from this list ",1552120000000.0,C001087,116,Eric,Crawford,1/22/66,M,AR,1.0,Republican,House,Rick,158412,2019-03-09 08:26:40,,,,,,0.57054186,,,,,,,,,,,
3,An Explanation of H.R. 1,"Congresswoman Kay Granger, Representing the 12th District of Texas Dear Friends-- Last week, House Democrats passed H.R. 1, legislation masked as voter and election reform. Unfortunately, what you won't hear in the news is that included in this bill are some of the most dangerous and unconstitutional changes to our election system that we have ever seen. Although this bill is deceptively named ""For the People Act"", nothing could be further from truth. Our elections are sacred and we must do everything in our power to protect them and keep them safe from foreign governments, criminal individuals and hackers. This legislation does nothing to keep our elections more safe or fair. It is a partisan attempt to change the process to benefit one political party over the other. I'd like to explain a little more about some of these changes and what they could mean to you. Here are just a few of the many provisions within H.R. 1: - Creates a ""one size fits all"" federally mandated approach to our election laws- forcing states to surrender their autonomy - Allows for voter registration with no identification and for online registration; this would open the door to the potential for massive voter fraud schemes at the fingertips of criminals. - The bill would restore voting rights to individuals convicted of a felony, no matter how heinous the crime- potentially allowing those who are convicted of voter fraud and voter intimidation to vote in our elections. - Prevents election officials from verifying voter eligibility - Permits underage voters to register and officials will be unable to determine if they are eligible to vote or not. - Publicly finances elections by creating a 6 to 1 government match. This means that the government is giving your tax money to politicians so they can run more advertisements. - Allows candidates to use campaign contributions on themselves. - Infringes on the free speech rights of Americans and organizations by putting compliance and administrative restrictions on certain groups, citizens and non-profits. This is just a sampling of the things the Democrats have put into this legislation. To learn more about some of the other changes please click here. [link 1] Democrats rushed to get a vote on this reckless piece of legislation and even some of my colleagues across the aisle have expressed concerns with what was included. Serious reforms to our election process deserve a deliberate and thoughtful process, and this bill is the opposite. H.R. 1 is so damaging, that the far left-leaning ACLU opposes it because of concerns it infringes on our basic right of freedom of speech. I do not believe the federal government should tell Texas how our elections should be run. I also do not believe that we should infringe upon our Constitutional rights and give politicians your hard-earned tax dollars to subsidize their lives. This is nothing but an attempt by Democrats to use underhanded tactics to win more elections. * *You sent me to Washington to bring positive change to our community, our state and our nation-- You also sent me to make sure that we work to stop thoughtless and poorly written pieces of legislation like H.R. 1. As always, please feel free to contact our Washington, DC and Fort Worth office with any questions you may have. Sincerely, Kay Granger [image = Member of Congress ---------------------- footnotes ---------------------- [link 1] Website: / Fort Worth Office 1701 River Run Road Suite 407 Fort Worth, TX 76107 Phone: (817) 338-0909 Fax: (817) 335-5852 Hours: M-F 8:30AM - 5:00PM Washington, DC Office 1026 Longworth HOB Washington, DC 20515 Phone: (202) 225-5071 Fax: (202) 225-5683 Hours: M-F 9:00AM - 6:00PM Privacy:  : ",1552390000000.0,G000377,116,Kay,Granger,1/18/43,F,TX,12.0,Republican,House,,158316,2019-03-12 11:26:40,,,,0.57159793,,,,,,,,,,,,,
4,Butterfield Joins Voting Rights Field Hearings," News from Representative Butterfield Click here to open this e-mail in its own browser window Click here to open a plain text version of this email HOME ABOUT MEMBER ABOUT DISTRICT NEWS CONTACT Voting Rights Field Hearings During this past district work period, I joined my colleagues from the House Administration Committee and other House Members in conducting field hearings on voting rights and elections administration around the country. We heard from voters and issue area experts regarding voting rights, elections administration and barriers to exercising the right to vote in North Dakota, North Carolina, and Ohio. We heard deeply disturbing accounts of systematic voter suppression efforts including voter ID laws, closing or moving of voting sites in minority precincts, termination of early voting opportunities, voter roll purges, and other policy changes that disproportionately affect people of color. Section 5 of the Voting Rights Act was suspended by the United States Supreme Court in 2013. As indicated in these field hearings, there is a desperate need to update our voting rights protections so that all Americans have the ability for their voices to be heard through their votes. The information we gained from these hearings will help inform the House Administration Committee and Members of Congress about the current barriers to voting Americans are facing and what Congress should do to ensure every American has equal access to the ballot box. I am outraged by the ongoing voter suppression efforts occurring across the country. We all should be outraged, on both sides of the political aisle, by the efforts to dilute participation in our democracy and to suppress American voices at the ballot box. I look forward to our upcoming voting rights field hearings in Alabama and Florida and continuing the fight in Congress to protect our sacred and solemn right to vote. SHARE WITH A FRIEND | SHARE ON TWITTER | SHARE ON FACEBOOK   | Privacy Policy ",1556720000000.0,B001251,116,George,Butterfield,4/27/47,M,NC,1.0,Democrat,House,G.K.,156683,2019-05-01 14:13:20,,,,,,,,,0.612088,,,,,,,,
5,It's time to secure our elections," Ron Wyden - U.S. Senator for Oregon Dear Prof.  , In 2016, Russia ran a campaign of election tampering and voter suppression against the United States, undermining the democratic will of the American people. Top intelligence leaders and experts are warning us that it's going to happen again, unless we act. Now. Free and fair elections are the bedrock of our democracy, but it's up to the federal government to protect them. Since the attacks on our election in 2016, I have been calling on lawmakers at the local, state and federal levels to end our dependence on faulty technology and voting machines that leave our elections vulnerable. That's why I'm introducing my Protecting American Votes and Elections (PAVE) Act . My bill will require the use of hand-marked paper ballots for all elections, implement risk-limiting audits, and for the first time, mandate strong cyber-security standards for federal elections. These are concrete steps that election security experts agree will help safeguard our elections against hackers and foreign interference. Momentum and support is growing for hand-marked paper ballots and upgrading our election security. No American should have to fear the votes they cast will be tampered with or lost. Protecting our democracy depends on lawmakers across the country taking bold action. I am committed to defending our elections, and I won't stop fighting until Congress passes my bill making paper ballots the law of the land. Sincerely, Ron Wyden Please do not reply to this e-mail. If you would like to send a message to Senator Wyden, click here . If you would like to   from Senator Wyden's newsletter please click here and fill out the   form. ",1557920000000.0,W000779,116,Ron,Wyden,5/3/49,M,OR,,Democrat,Senate,,156191,2019-05-15 11:33:20,0.58344775,,,,,0.6620507,0.6486875,,,,,,,,,,
6,Baldwin Takes Action to Protect American Elections from Foreign Interference," Dear  , To help protect our democracy from foreign interference, Senator Baldwin has joined Senator Ron Wyden (D-OR) in introducing the Protecting American Votes and Elections (PAVE) Act of 2019 - legislation that strengthens election security by mandating hand-marked paper ballots and setting new cybersecurity standards for all federal elections. The bill provides the strongest protection for American elections of any proposal currently before Congress. ""American intelligence officials have made it clear that we face an ongoing threat to our elections from foreign adversaries and hackers. We must take action to protect the integrity of the vote,"" said Senator Baldwin. ""This legislation to require paper ballots and secure our federal elections is a commonsense solution that will strengthen election security and help protect our democracy from foreign interference."" The PAVE Act requires paper ballots and statistically rigorous ""risk-limiting"" audits for all federal elections - two measures recommended by experts in a National Academies of Sciences, Engineering, and Medicine 2018​ report on election security. Specifically, the bill: Bans internet, WiFi and cellular connections for voting machines, and gives the Department of Homeland Security the authority to set, for the first time, minimum cybersecurity standards for voting machines, voter registration databases, electronic poll books used to 'check in' voters at polling places and election night reporting websites; Provides state and local governments with $500 million to buy new, secure ballot scanning machines, and $250 million to buy new ballot marking devices to be used by voters with disabilities; and Permits the federal government to reimburse states the cost of conducting post-elections audits, as well as the cost of designing and printing ballots. These measures, collectively, are necessary to fix the vulnerabilities in our election infrastructure highlighted by Russia in 2016, to secure our elections from foreign hackers and give voters confidence in election results. The League of Women Voters, Common Cause, Electronic Frontier Foundation, Public Knowledge, Brennan Center for Justice, Protect Democracy, National Election Defense Coalition, Fair Fight Action and American Statistical Association - as well as leading cybersecurity experts, voting rights groups and fair elections advocates - have all endorsed the PAVE Act and agree: ""American elections should be free from foreign influence and political manipulation. It is clear after the 2018 elections that there needs to be mandatory cybersecurity standards that protect our election infrastructure from hacking. This legislation will build on the work of the Election Assistance Commission and give the resources that elections officials need to protect our election infrastructure,"" said Virginia Kase, Chief Executive Officer of the League of Women Voters of the United States. ""With state election systems facing constant cyber threats, this legislation would institute the most critical safeguards needed to defend against sophisticated cyberattacks. In addition to requiring the critical failsafes for voting systems, this legislation also importantly requires minimum cybersecurity standards for voter registration databases and electronic poll books. These additional measures are crucial. In the last election cycle, we saw too many voters denied the right to vote because their names were suddenly not on the voter rolls or their data was compromised in other ways,"" said Susannah Goodman, Director of the Election Security program at Common Cause. ""The PAVE Act is a much needed step forward in election security. For years now, security researchers have been raising concerns with outdated voting equipment used across the country. But paper records that can be verified by voters and hand-audited increase the integrity of our elections and ward off potential interference. Now is the time for Congress to act and secure the integrity of the ballot box before we head into the next national election,"" said Jacob Hoffman-Andrews, Senior Staff Technologist at the Electronic Frontier Foundation. ""Our democracy works best when our elections are free and fair, and when every eligible voice is heard. The PAVE Act would mandate paper backups for every vote, and require that those backups be reviewed through rigorous, risk-limiting audits. It would also create minimum cybersecurity standards for the use of voting machines and other critical election infrastructure. Together these steps would greatly increase the integrity and security of American elections,"" said Lawrence Norden, Deputy Director of the Democracy Program at the Brennan Center for Justice at NYU School of Law. ""The PAVE Act takes on one of the most pressing challenges facing our democracy: ensuring that the country's voting equipment counts every vote accurately, free from interference by cyberattackers. It sets baseline standards for responding to a national security risk that strikes at the core of our democracy,"" said Larry Schwartztol, Counsel, Protect Democracy. Read more about the PAVE Act and Senator Baldwin's efforts to help protect our democracy from foreign interference here. Click to   ",1558610000000.0,B001230,116,Tammy,Baldwin,2/11/62,F,WI,,Democrat,Senate,,155901,2019-05-23 11:13:20,,,,,,0.6545518,0.6281159,,,,,,,,,,
7,Congresswoman Beatty Seeks to End Aggressive Voter Purges," Congresswoman Beatty Seeks to End Aggressive Voter Purges Congresswoman Beatty Seeks to End Aggressive Voter Purges Yesterday, coinciding with the one-year anniversary of the Supreme Court's 5-4 decision in Husted v. A. Philip Randolph Institute allowing the State of Ohio to remove voters from the voting rolls because of inactivity, U.S. Congresswoman Joyce Beatty (OH-03) introduced new legislation that would prohibit this harmful practice. Specifically, Beatty's bill, the Save Voters Act , H.R. 3201, would bar states from purging potential voters based on their failure to vote or respond to a written notice, unless the notice is returned as undeliverable. Moreover, a state must inform a voter when they are removed from the rolls and include the reason for removal and information on how to contest removal or be reinstated. Further, states must also disseminate a public notice within 48 hours of conducting any general program to remove names from the official list of eligible voters, informing the public that list maintenance is taking place and that registrants should check their voter status. ""The right to vote is not a 'use-it or lose-it' proposition. Rather, voting is a permanent guarantee that is essential to our democracy and fundamental to all the other rights we share as Americans,"" Beatty said. ""The Supreme Court's decision allowing the State of Ohio to continue its aggressive voter purge makes it much harder for Ohioans to vote-especially communities of color, veterans and vulnerable populations-and lays the groundwork for other states to prevent many more Americans from freely exercising their constitutional right to vote."" Beatty continued, ""That is why I am introducing the Save Voters Act to ensure that a person who is registered to vote and has not done anything to affirmatively disqualify themselves has their vote counted."" Congresswoman Beatty joins advocates on the steps of the Supreme Court to defend Central Ohioans' right to vote. (January 10, 2018) At the heart of the case is an Ohio state law that authorizes the Secretary of State to implement a ""supplementary process"" to remove voters, in addition to identifying and purging voters who died, moved to other states, or otherwise lost voting eligibility. That ""supplementary process"" involves the Secretary of State producing a list of voters who go two years without voting activities (e.g. voting and/or updating their personal contact information) and sending those voters a notice. If that notice is not returned or the voter does not vote in the subsequent four years, then that voter is automatically struck from the rolls. The Save Voters Act is backed by Common Cause Ohio. Speaking in support of Beatty's bill, Common Cause Ohio Executive Director Catherine Turcer said, ""Despite that many Americans died fighting for the right to vote, we're now seeing an increasing number of states and localities trying to suppress the votes of certain eligible American voters. We must continue fighting to protect our voices at the ballot box, and we appreciate Congresswoman Beatty's efforts to protect our sacred right to vote."" Washington, DC Office 2303 Rayburn House Office Building Washington, DC 20515 Phone: (202) 225-4324 Fax: (202) 225-1984 Hours: Mon-Fri 9AM - 5PM Columbus Office 471 East Broad Street, Suite 1100 Columbus, OH 43215 Phone: (614) 220-0003 Fax: (614) 220-5640 Hours: Mon-Fri 9AM - 5PM Click Here to view this email in your browser Click Here to be removed from this list Click Here to view this email in your browser Click Here to be removed from this list ",1560350000000.0,B001281,116,Joyce,Beatty,3/12/50,F,OH,3.0,Democrat,House,,155187,2019-06-12 14:33:20,,,,,,,,,0.5588733,,,,,,,,
8,Protecting Our Democracy," Subscribe Contact Hello Friend, I wanted to update you on recent progress we've made in Congress to protect our democracy. I'm excited to tell you that the House passed H.R. 2722, the Securing America's Federal Elections (SAFE) Act, on June 27, 2019. This bill requires voting systems to use backup paper ballots in federal elections, mandates technical improvements in election infrastructure, and provides states resources to bolster their electoral security measures. I proudly voted for this legislation. National intelligence agencies, independent experts, and Special Counsel Robert Mueller have all stated that there were systematic efforts to interfere in the 2016 presidential election. It's clear that we must do more to protect our right to vote from hostile international actors that seek to divide us and sow doubt in our electoral processes. Although Republican lawmakers have acknowledged the need to secure our election systems, all but one of them voted against the SAFE Act in the House, and Senate Majority Leader McConnell has refused to allow votes on any election security proposals in the Senate. We simply cannot wait to secure the integrity of our elections. That is why I voted for H.R. 2722, the SAFE Act. This legislation takes concrete steps to fight back against foreign interference by incorporating experts' recommendations and making direct investments to secure our elections. Specifically, the bill would authorize $600 million for states to meet more stringent security requirements and appropriates $175 million for election infrastructure. Additionally, it would implement cybersecurity recommendations for hardware and software and require electronic voting machines to be made in the United States. National security experts have said that the same elements that interfered in 2016 will definitely be back in 2020, and we have to be ready by doing all we can to protect our democracy. Sincerely, Katherine Clark Member of Congress (MA-05) Washington, DC Office 2448 Rayburn HOB Washington, DC 20515 Phone: (202) 225-2836 Hours: M-F 9-5:30pm District Office 157 Pleasant Street, Suite 4 Malden, MA 02148 Phone: (617) 354-0292 Hours: M-F 9-5:30pm MetroWest Regional Office 116 Concord Street, Suite 1 Framingham, MA 01702 Phone: (508) 319-9757   ",1562080000000.0,C001101,116,Katherine,Clark,7/17/63,F,MA,5.0,Democrat,House,,154447,2019-07-02 15:06:40,0.56956977,,,,,,0.59631765,,,,,,,,,,
9,Engel: We Must Have Ballot Security in 2020," Engel: We Must Have Ballot Security in 2020 If you are having trouble viewing this message or would like to share it on a social network, you can view the message online . WEBSITE | BIOGRAPHY | CONTACT ME | SERVICES | DISTRICT | NEWSROOM Dear Friend, Earlier this year, I worked to have the House pass the Securing America's Federal Election Act. This legislation, which I voted for, requires voting systems to have backup paper ballots to ensure election security. Without backup paper ballots, the results of our elections could be called into question should our electoral system be hacked. It also provides $600 million in Federal funds for states and localities to improve election security, and would give states $175 million biannually to sustain and improve election infrastructure. Robert Mueller clearly stated in his report that Russia interfered in our 2016 election. During his testimony a few weeks ago, Mueller said ""They are doing it as we sit here. And they expect to do it in the next campaign."" A recent US Senate Report stated that all 50 states were targeted in 2016 and found election interference going back to 2014. This should alarm every American. We know of at least two instances where election systems in Florida counties were hacked by Russia, and we know they were in a position to alter voter rolls. We also know that Russia had accessed 200,000 Illinois registration records in 2016. Simply put: our electoral system is not ready for 2020 and Russia may not be the only bad actor trying to interfere next time . This is why I am working to make sure we have election security in place for the 2020 election. We cannot put our heads in the sand, pretend there is no danger, and not improve election security. We need to act fast. Sincerely, Eliot L. Engel MEMBER OF CONGRESS Share on Facebook Share on Twitter E-mail Updates Yes, please periodically send me e-mail updates.* Click Here *By subscribing to my e-mail updates, you are authorizing me to send regular e-mail updates from my office to your e-mail account. OFFICE LOCATIONS: Washington DC Office 2426 Rayburn HOB Washington, DC 20515 Phone: (202) 225-2464 Fax: (202) 225-5513 Monday-Friday 9 am - 5 pm Bronx Office 3655 Johnson Avenue Bronx, NY 10463 Phone: (718) 796-9700 Fax: (718) 796-5134 Monday-Friday 9 am - 5 pm Westchester Office 6 Gramatan Avenue; Suite 205 Mt. Vernon, NY 10550 Phone: (914) 699-4100 Fax: (914) 699-3646 Monday-Friday 9 am - 5 pm Co-op City Office 177 Dreiser Loop, Rm 3 Phone: (718) 320-2314 Fax: (718) 320-2047 Monday-Friday 9 am - 5 pm Stay Connected: Update My Profile -   - Privacy Policy - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ",1.56698E+12,E000179,116,Eliot,Engel,2/18/47,M,NY,16,Democrat,House,,152609,2019-08-28 08:13:20,,,,,,0.6026229,0.640836,,,,,,,,,,
