name,id,match_attribute1,match_attribute2,match_attribute3,append_attribute1,append_attribute2,append_attribute3
MARTHA ROBY,N00030768,R,AL,2,2016,,
MO BROOKS,N00030910,R,AL,5,2016,,
TERRI A SEWELL,N00030622,D,AL,7,2016,,
RICK CRAWFORD,N00030770,R,AR,1,2016,,
STEVE WOMACK,N00031857,R,AR,3,2016,,
PAUL GOSAR,N00030771,R,AZ,4,2016,,
AMI BERA,N00030717,D,CA,7,2016,,
MARK DESAULNIER,N00030709,D,CA,11,2016,,
JOHN GARAMENDI,N00030856,D,CA,3,2016,,
MIKE HONDA,N00012611,D,CA,17,2016,,
JEFF DENHAM,N00031593,R,CA,10,2016,,
ADAM SCHIFF,N00009585,D,CA,28,2016,,
JUDY CHU,N00030600,D,CA,27,2016,,
KAREN BASS,N00031877,D,CA,37,2016,,
DARRELL ISSA,N00007017,R,CA,49,2016,,
SUSAN DAVIS,N00009604,D,CA,53,2016,,
ROSA L DELAURO,N00000615,D,CT,3,2016,,
JOHN CARNEY,N00030736,D,DE,1,2016,,
ANDER CRENSHAW,N00012739,R,FL,4,2016,,
RICHARD NUGENT,N00032441,R,FL,11,2016,,
DANIEL WEBSTER,N00026335,R,FL,10,2016,,
DENNIS ROSS,N00030645,R,FL,15,2016,,
FREDERICA WILSON,N00030650,D,FL,24,2016,,
ILEANA ROS-LEHTINEN,N00002858,R,FL,27,2016,,
TED DEUTCH,N00031317,D,FL,21,2016,,
JODY B HICE,N00032243,R,GA,10,2016,,
ROB WOODALL,N00032416,R,GA,7,2016,,
AUSTIN SCOTT,N00032457,R,GA,8,2016,,
TOM GRAVES,N00030788,R,GA,14,2016,,
RAUL LABRADOR,N00031377,R,ID,1,2016,,
MIKE QUIGLEY,N00030581,D,IL,5,2016,,
BOB DOLD,N00031103,R,IL,10,2016,,
ADAM KINZINGER,N00030667,R,IL,16,2016,,
RANDY HULTGREN,N00031104,R,IL,14,2016,,
LUKE MESSER,N00012546,R,IN,6,2016,,
JACKIE WALORSKI,N00031226,R,IN,2,2016,,
TODD ROKITA,N00031741,R,IN,4,2016,,
LARRY BUCSHON,N00031227,R,IN,8,2016,,
KEVIN YODER,N00031502,R,KS,3,2016,,
MIKE POMPEO,N00030744,R,KS,4,2016,,
HAL ROGERS,N00003473,R,KY,5,2016,,
ANDY BARR,N00031233,R,KY,6,2016,,
STEVE SCALISE,N00009660,R,LA,1,2016,,
BILL KEATING,N00031933,D,MA,9,2016,,
DAN BENISHEK,N00031934,R,MI,1,2016,,
BILL HUIZENGA,N00030673,R,MI,2,2016,,
JUSTIN AMASH,N00031938,R,MI,3,2016,,
BETTY MCCOLLUM,N00012942,D,MN,4,2016,,
WILLIAM L CLAY JR,N00012460,D,MO,1,2016,,
VICKY HARTZLER,N00031005,R,MO,4,2016,,
SAM GRAVES,N00013323,R,MO,6,2016,,
BILLY LONG,N00030676,R,MO,7,2016,,
STEVEN PALAZZO,N00031958,R,MS,4,2016,,
RENEE ELLMERS,N00031513,R,NC,2,2016,,
KEVIN CRAMER,N00004614,R,ND,1,2016,,
FRANK GUINTA,N00030801,R,NH,1,2016,,
ANN MCLANE KUSTER,N00030875,D,NH,2,2016,,
STEVE ISRAEL,N00013345,D,NY,3,2016,,
JOSE E SERRANO,N00001813,D,NY,15,2016,,
CHRIS GIBSON,N00031998,R,NY,19,2016,,
TOM REED,N00030949,R,NY,23,2016,,
BILL JOHNSON,N00032088,R,OH,6,2016,,
PAT TIBERI,N00009699,R,OH,12,2016,,
JIM RENACCI,N00031127,R,OH,16,2016,,
BOB GIBBS,N00031128,R,OH,7,2016,,
MIKE KELLY,N00031647,R,PA,3,2016,,
KEITH J ROTHFUS,N00031253,R,PA,12,2016,,
RYAN COSTELLO,N00031064,R,PA,6,2016,,
PATRICK MEEHAN,N00031134,R,PA,7,2016,,
TOM MARINO,N00031777,R,PA,10,2016,,
DAVID CICILLINE,N00032019,D,RI,1,2016,,
JIM LANGEVIN,N00009724,D,RI,2,2016,,
JEFF DUNCAN,N00030752,R,SC,3,2016,,
TREY GOWDY,N00030880,R,SC,4,2016,,
MICK MULVANEY,N00031412,R,SC,5,2016,,
KRISTI NOEM,N00032022,R,SD,1,2016,,
CHUCK FLEISCHMANN,N00030815,R,TN,3,2016,,
SCOTT DESJARLAIS,N00030957,R,TN,4,2016,,
DIANE BLACK,N00031539,R,TN,6,2016,,
STEVE FINCHER,N00031141,R,TN,8,2016,,
JOHN CULBERSON,N00009738,R,TX,7,2016,,
BILL FLORES,N00031545,R,TX,17,2016,,
WILL HURD,N00031417,R,TX,23,2016,,
BLAKE FARENTHOLD,N00031672,R,TX,27,2016,,
SCOTT RIGELL,N00030962,R,VA,2,2016,,
ROBERT HURT,N00031265,R,VA,5,2016,,
MORGAN GRIFFITH,N00032029,R,VA,9,2016,,
RICK LARSEN,N00009759,D,WA,2,2016,,
DENNIS HECK,N00031557,D,WA,10,2016,,
JAIME HERRERA BEUTLER,N00031559,R,WA,3,2016,,
SUZAN DELBENE,N00030693,D,WA,1,2016,,
SEAN P DUFFY,N00030967,R,WI,7,2016,,
REID RIBBLE,N00030968,R,WI,8,2016,,
DAVID MCKINLEY,N00031681,R,WV,1,2016,,
MIKE D ROGERS,N00024759,R,AL,3,2016,,
RAUL M GRIJALVA,N00025284,D,AZ,3,2016,,
MARTHA MCSALLY,N00033982,R,AZ,2,2016,,
KYRSTEN SINEMA,N00033983,D,AZ,9,2016,,
ALAN LOWENTHAL,N00033274,D,CA,47,2016,,
JULIA BROWNLEY,N00034254,D,CA,26,2016,,
DOUG LAMALFA,N00033987,R,CA,1,2016,,
JARED HUFFMAN,N00033030,D,CA,2,2016,,
PAUL COOK,N00034224,R,CA,8,2016,,
ERIC SWALWELL,N00033508,D,CA,15,2016,,
DAVID VALADAO,N00033367,R,CA,21,2016,,
TONY CARDENAS,N00033373,D,CA,29,2016,,
XAVIER BECERRA,N00009774,D,CA,34,2016,,
PETE AGUILAR,N00033997,D,CA,31,2016,,
LUCILLE ROYBAL-ALLARD,N00006671,D,CA,40,2016,,
RAUL RUIZ,N00033510,D,CA,36,2016,,
KEN CALVERT,N00007099,R,CA,42,2016,,
LINDA SANCHEZ,N00024870,D,CA,38,2016,,
MARK A TAKANO,N00006701,D,CA,41,2016,,
JUAN VARGAS,N00007021,D,CA,51,2016,,
SCOTT PETERS,N00033591,D,CA,52,2016,,
JOE COURTNEY,N00024842,D,CT,2,2016,,
ELIZABETH ESTY,N00033217,D,CT,5,2016,,
RON DESANTIS,N00034746,R,FL,6,2016,,
JEFF MILLER,N00013846,R,FL,1,2016,,
CORRINE BROWN,N00002713,D,FL,5,2016,,
TED YOHO,N00033220,R,FL,3,2016,,
JOHN L MICA,N00002793,R,FL,7,2016,,
LOIS J FRANKEL,N00002893,D,FL,22,2016,,
ALCEE L HASTINGS,N00002884,D,FL,20,2016,,
MARIO DIAZ-BALART,N00025337,R,FL,25,2016,,
SANFORD BISHOP,N00002674,D,GA,2,2016,,
DOUG COLLINS,N00033518,R,GA,9,2016,,
RICHARD W ALLEN,N00033720,R,GA,12,2016,,
DAVID SCOTT,N00024871,D,GA,13,2016,,
TULSI GABBARD,N00033281,D,HI,2,2016,,
ROD BLUM,N00033744,R,IA,1,2016,,
STEVEN A KING,N00025237,R,IA,4,2016,,
BOBBY L RUSH,N00004887,D,IL,1,2016,,
ROBIN KELLY,N00035215,D,IL,2,2016,,
LUIS V GUTIERREZ,N00004874,D,IL,4,2016,,
RODNEY DAVIS,N00034784,R,IL,13,2016,,
CHERI BUSTOS,N00033390,D,IL,17,2016,,
JOHN SHIMKUS,N00004961,R,IL,15,2016,,
SUSAN BROOKS,N00033495,R,IN,5,2016,,
THOMAS MASSIE,N00034041,R,KY,4,2016,,
JOE KENNEDY III,N00034044,D,MA,4,2016,,
STEPHEN F LYNCH,N00013855,D,MA,8,2016,,
DUTCH RUPPERSBERGER,N00025482,D,MD,2,2016,,
STENY H HOYER,N00001821,D,MD,5,2016,,
JOHN K DELANEY,N00033897,D,MD,6,2016,,
DAN KILDEE,N00033395,D,MI,5,2016,,
BRENDA LAWRENCE,N00034068,D,MI,14,2016,,
SANDER LEVIN,N00003950,D,MI,9,2016,,
COLLIN PETERSON,N00004558,D,MN,7,2016,,
RICK NOLAN,N00021207,D,MN,8,2016,,
ANN L WAGNER,N00033106,R,MO,2,2016,,
WALTER B JONES JR,N00002299,R,NC,3,2016,,
DAVID ROUZER,N00033527,R,NC,7,2016,,
RICHARD HUDSON,N00033630,R,NC,8,2016,,
ROBERT PITTENGER,N00034416,R,NC,9,2016,,
MARK R MEADOWS,N00033631,R,NC,11,2016,,
GEORGE HOLDING,N00033399,R,NC,13,2016,,
FRANK A LOBIONDO,N00000851,R,NJ,2,2016,,
RODNEY FRELINGHUYSEN,N00000684,R,NJ,11,2016,,
DONALD M PAYNE JR,N00034639,D,NJ,10,2016,,
STEVE PEARCE,N00012672,R,NM,2,2016,,
MARK AMODEI,N00031177,R,NV,2,2016,,
NYDIA VELAZQUEZ,N00001102,D,NY,7,2016,,
PETE KING,N00001193,R,NY,2,2016,,
GRACE MENG,N00034547,D,NY,6,2016,,
HAKEEM JEFFRIES,N00033640,D,NY,8,2016,,
CAROLYN B MALONEY,N00000078,D,NY,12,2016,,
JERROLD NADLER,N00000939,D,NY,10,2016,,
SEAN PATRICK MALONEY,N00034277,D,NY,18,2016,,
BRAD WENSTRUP,N00033310,R,OH,2,2016,,
MICHAEL R TURNER,N00025175,R,OH,10,2016,,
JOYCE BEATTY,N00033904,D,OH,3,2016,,
MARCY KAPTUR,N00003522,D,OH,9,2016,,
DAVID P JOYCE,N00035007,R,OH,14,2016,,
TIM RYAN,N00025280,D,OH,13,2016,,
JAMES BRIDENSTINE,N00033532,R,OK,1,2016,,
MARKWAYNE MULLIN,N00033410,R,OK,2,2016,,
TOM COLE,N00025726,R,OK,4,2016,,
SUZANNE BONAMICI,N00033474,D,OR,1,2016,,
CHAKA FATTAH,N00001746,D,PA,2,2016,,
SCOTT PERRY,N00034120,R,PA,4,2016,,
BILL SHUSTER,N00013770,R,PA,9,2016,,
LOU BARLETTA,N00025495,R,PA,11,2016,,
MATT CARTWRIGHT,N00034128,D,PA,17,2016,,
TIM MURPHY,N00024992,R,PA,18,2016,,
JAMES E CLYBURN,N00002408,D,SC,6,2016,,
JOE WILSON,N00024809,R,SC,2,2016,,
TOM RICE,N00033832,R,SC,7,2016,,
JIM COOPER,N00003132,D,TN,5,2016,,
MARSHA BLACKBURN,N00003105,R,TN,7,2016,,
EDDIE BERNICE JOHNSON,N00008122,D,TX,30,2016,,
SAM JOHNSON,N00008028,R,TX,3,2016,,
PETE SESSIONS,N00005681,R,TX,32,2016,,
JEB HENSARLING,N00024922,R,TX,5,2016,,
RANDY WEBER,N00033539,R,TX,14,2016,,
BETO O'ROURKE,N00033540,D,TX,16,2016,,
HENRY CUELLAR,N00024978,D,TX,28,2016,,
MICHAEL BURGESS,N00025219,R,TX,26,2016,,
FILEMON VELA,N00034349,D,TX,34,2016,,
GENE GREEN,N00005870,D,TX,29,2016,,
JOHN CARTER,N00025095,R,TX,31,2016,,
ROGER WILLIAMS,N00030602,R,TX,25,2016,,
MARC VEASEY,N00033839,D,TX,33,2016,,
JOAQUIN CASTRO,N00033316,D,TX,20,2016,,
ROB BISHOP,N00025292,R,UT,1,2016,,
CHRIS STEWART,N00033932,R,UT,2,2016,,
MIA LOVE,N00033842,R,UT,4,2016,,
RANDY FORBES,N00013799,R,VA,4,2016,,
BOB GOODLATTE,N00009154,R,VA,6,2016,,
DEREK KILMER,N00034453,D,WA,6,2016,,
MARK POCAN,N00033549,D,WI,2,2016,,
BRADLEY BYRNE,N00035380,R,AL,1,2016,,
GARY PALMER,N00035691,R,AL,6,2016,,
FRENCH HILL,N00035792,R,AR,2,2016,,
BRUCE WESTERMAN,N00035527,R,AR,4,2016,,
MATT SALMON,N00006446,R,AZ,5,2016,,
TRENT FRANKS,N00006423,R,AZ,8,2016,,
DAVID SCHWEIKERT,N00006460,R,AZ,6,2016,,
RUBEN GALLEGO,N00036097,D,AZ,7,2016,,
JERRY MCNERNEY,N00026926,D,CA,9,2016,,
ZOE LOFGREN,N00007479,D,CA,19,2016,,
SAM FARR,N00007312,D,CA,20,2016,,
JIM COSTA,N00026341,D,CA,16,2016,,
MAXINE WATERS,N00006690,D,CA,43,2016,,
STEVE KNIGHT,N00035820,R,CA,25,2016,,
TED LIEU,N00035825,D,CA,33,2016,,
NORMA TORRES,N00036107,D,CA,35,2016,,
MIMI WALTERS,N00035391,R,CA,45,2016,,
KENNETH R BUCK,N00030829,R,CO,4,2016,,
GWEN GRAHAM,N00035688,D,FL,2,2016,,
DAVID JOLLY,N00035717,R,FL,13,2016,,
CURT CLAWSON,N00035854,R,FL,19,2016,,
DEBBIE WASSERMAN SCHULTZ,N00026106,D,FL,23,2016,,
CARLOS CURBELO,N00035403,R,FL,26,2016,,
BUDDY CARTER,N00035346,R,GA,1,2016,,
TOM PRICE,N00026160,R,GA,6,2016,,
LYNN A WESTMORELAND,N00026163,R,GA,3,2016,,
BARRY LOUDERMILK,N00035347,R,GA,11,2016,,
DAVID YOUNG,N00035509,R,IA,3,2016,,
DANIEL LIPINSKI,N00027239,D,IL,3,2016,,
DANNY K DAVIS,N00004884,D,IL,7,2016,,
MIKE BOST,N00035420,R,IL,12,2016,,
PETE VISCLOSKY,N00003813,D,IN,1,2016,,
RALPH ABRAHAM,N00036633,R,LA,5,2016,,
GARRET GRAVES,N00036135,R,LA,6,2016,,
JAMES P MCGOVERN,N00000179,D,MA,2,2016,,
KATHERINE CLARK,N00035278,D,MA,5,2016,,
SETH MOULTON,N00035431,D,MA,6,2016,,
BRUCE POLIQUIN,N00034584,R,ME,2,2016,,
JOHN MOOLENAAR,N00036275,R,MI,4,2016,,
TIM WALBERG,N00026368,R,MI,7,2016,,
MIKE BISHOP,N00036449,R,MI,8,2016,,
DAVE TROTT,N00035607,R,MI,11,2016,,
DEBBIE DINGELL,N00036149,D,MI,12,2016,,
TOM EMMER,N00035440,R,MN,6,2016,,
EMANUEL CLEAVER,N00026790,D,MO,5,2016,,
JASON SMITH,N00035282,R,MO,8,2016,,
BENNIE G THOMPSON,N00003288,D,MS,2,2016,,
RYAN ZINKE,N00035616,R,MT,1,2016,,
G K BUTTERFIELD,N00027035,D,NC,1,2016,,
VIRGINIA FOXX,N00026166,R,NC,5,2016,,
MARK WALKER,N00035311,R,NC,6,2016,,
PATRICK MCHENRY,N00026627,R,NC,10,2016,,
ALMA ADAMS,N00035451,D,NC,12,2016,,
JEFF FORTENBERRY,N00026631,R,NE,1,2016,,
BRAD ASHFORD,N00005293,D,NE,2,2016,,
