name,id,match_attribute1,match_attribute2,match_attribute3,append_attribute1,append_attribute2,append_attribute3
DANIEL WEBSTER,,R,FL,10,,,
DARRELL ISSA,,R,CA,49,,,
PATRICK TIBERI,,R,OH,12,,,
KEVIN MCCARTHY,,R,CA,23,,,
DAVID CICILLINE,,D,RI,1,,,
RYAN COSTELLO,,R,PA,6,,,
SEAN DUFFY,,R,WI,7,,,
ANN WAGNER,,R,MO,2,,,
ANN KIRKPATRICK,,D,AZ,1,,,
H. GRIFFITH,,R,VA,9,,,
TOM PRICE,,R,GA,6,,,
LYNN JENKINS,,R,KS,2,,,
VERN BUCHANAN,,R,FL,16,,,
TOM RICE,,R,SC,7,,,
RICHARD HUDSON,,R,NC,8,,,
BRIAN BABIN,,R,TX,36,,,
JANICE SCHAKOWSKY,,D,IL,9,,,
DAVID JOYCE,,R,OH,14,,,
MICHAEL MCCAUL,,R,TX,10,,,
GUS BILIRAKIS,,R,FL,12,,,
AUSTIN SCOTT,,R,GA,8,,,
SCOTT PERRY,,R,PA,4,,,
TOM MARINO,,R,PA,10,,,
REID RIBBLE,,R,WI,8,,,
ADAM SCHIFF,,D,CA,28,,,
MIKE POMPEO,,R,KS,4,,,
JACKIE WALORSKI,,R,IN,2,,,
JEFF DENHAM,,R,CA,10,,,
JASON SMITH,,R,MO,8,,,
KEVIN YODER,,R,KS,3,,,
MARSHALL SANFORD,,R,SC,1,,,
LOU BARLETTA,,R,PA,11,,,
HENRY CUELLAR,,D,TX,28,,,
LEE ZELDIN,,R,NY,1,,,
DAVID REICHERT,,R,WA,8,,,
ILEANA ROS-LEHTINEN,,R,FL,27,,,
MICHAEL FITZPATRICK,,R,PA,8,,,
NANCY PELOSI,,D,CA,12,,,
BOB GOODLATTE,,R,VA,6,,,
BRENDAN BOYLE,,D,PA,13,,,
BILLY LONG,,R,MO,7,,,
FRANK PALLONE,,D,NJ,6,,,
TIM MURPHY,,R,PA,18,,,
BLAINE LUETKEMEYER,,R,MO,3,,,
FRED UPTON,,R,MI,6,,,
RODNEY DAVIS,,R,IL,13,,,
MARC VEASEY,,D,TX,33,,,
GRACE MENG,,D,NY,6,,,
DARIN LAHOOD,,R,IL,18,,,
STEVEN PALAZZO,,R,MS,4,,,
GLENN GROTHMAN,,R,WI,6,,,
MICHAEL BURGESS,,R,TX,26,,,
JOYCE BEATTY,,D,OH,3,,,
ELIJAH CUMMINGS,,D,MD,7,,,
LOUIE GOHMERT,,R,TX,1,,,
DUNCAN HUNTER,,R,CA,50,,,
J. HILL,,R,AR,2,,,
JULIA BROWNLEY,,D,CA,26,,,
DANIEL LIPINSKI,,D,IL,3,,,
DAVID ROUZER,,R,NC,7,,,
ERIK PAULSEN,,R,MN,3,,,
DAVID YOUNG,,R,IA,3,,,
ANDRÉ CARSON,,D,IN,7,,,
RICHARD NOLAN,,D,MN,8,,,
PATRICK MCHENRY,,R,NC,10,,,
TIM HUELSKAMP,,R,KS,1,,,
WILL HURD,,R,TX,23,,,
EARL CARTER,,R,GA,1,,,
GREGG HARPER,,R,MS,3,,,
DOUG LAMBORN,,R,CO,5,,,
K. CONAWAY,,R,TX,11,,,
ROBERT WITTMAN,,R,VA,1,,,
RANDY HULTGREN,,R,IL,14,,,
MARTHA ROBY,,R,AL,2,,,
BLAKE FARENTHOLD,,R,TX,27,,,
MARK WALKER,,R,NC,6,,,
DAVE TROTT,,R,MI,11,,,
KENNY MARCHANT,,R,TX,24,,,
JACKIE SPEIER,,D,CA,14,,,
VICKY HARTZLER,,R,MO,4,,,
MARKWAYNE MULLIN,,R,OK,2,,,
WALTER JONES,,R,NC,3,,,
DAVID ROE,,R,TN,1,,,
FILEMON VELA,,D,TX,34,,,
DIANE BLACK,,R,TN,6,,,
DAVID MCKINLEY,,R,WV,1,,,
ALMA ADAMS,,D,NC,12,,,
MIKE KELLY,,R,PA,3,,,
SUZAN DELBENE,,D,WA,1,,,
PETE SESSIONS,,R,TX,32,,,
STEVE WOMACK,,R,AR,3,,,
MARK MEADOWS,,R,NC,11,,,
MARCIA FUDGE,,D,OH,11,,,
